YYYYMMDD,RH,RH
,,
2014-07-15,,
2014-07-16,-46.0,-46.0
2014-07-17,-47.0,-47.0
2014-07-18,-51.0,-51.0
2014-07-19,-41.0,-41.0
2014-07-20,25.0,25.0
2014-07-21,7.0,7.0
2014-07-22,-40.0,-40.0
2014-07-23,-53.0,-53.0
2014-07-24,-47.0,-47.0
2014-07-25,-20.0,-20.0
2014-07-26,-43.0,-43.0
2014-07-27,-39.0,-39.0
2014-07-28,227.0,227.0
2014-07-29,-27.0,-27.0
2014-07-30,-34.0,-34.0
2014-07-31,-39.0,-39.0
2014-08-01,-39.0,-39.0
2014-08-02,-28.0,-28.0
2014-08-03,93.0,93.0
2014-08-04,-26.0,-26.0
2014-08-05,-40.0,-40.0
2014-08-06,33.0,33.0
2014-08-07,-40.0,-40.0
2014-08-08,-12.0,-12.0
2014-08-09,-12.0,-12.0
2014-08-10,49.0,49.0
2014-08-11,-14.0,-14.0
2014-08-12,38.0,38.0
2014-08-13,4.0,4.0
2014-08-14,41.0,41.0
2014-08-15,13.0,13.0
2014-08-16,-23.0,-23.0
2014-08-17,101.0,101.0
2014-08-18,21.0,21.0
2014-08-19,44.0,44.0
2014-08-20,10.0,10.0
2014-08-21,43.0,43.0
2014-08-22,26.0,26.0
2014-08-23,16.0,16.0
2014-08-24,17.0,17.0
2014-08-25,102.0,102.0
2014-08-26,123.0,123.0
2014-08-27,-34.0,-34.0
2014-08-28,1.0,1.0
2014-08-29,-13.0,-13.0
2014-08-30,14.0,14.0
2014-08-31,-1.0,-1.0
2014-09-01,-25.0,-25.0
2014-09-02,-22.0,-22.0
2014-09-03,-33.0,-33.0
2014-09-04,-31.0,-31.0
2014-09-05,-14.0,-14.0
2014-09-06,-12.0,-12.0
2014-09-07,-24.0,-24.0
2014-09-08,-30.0,-30.0
2014-09-09,-14.0,-14.0
2014-09-10,-18.0,-18.0
2014-09-11,-20.0,-20.0
2014-09-12,-28.0,-28.0
2014-09-13,-20.0,-20.0
2014-09-14,-17.0,-17.0
2014-09-15,-26.0,-26.0
2014-09-16,-22.0,-22.0
2014-09-17,-28.0,-28.0
2014-09-18,-27.0,-27.0
2014-09-19,-16.0,-16.0
2014-09-20,-17.0,-17.0
2014-09-21,-10.0,-10.0
2014-09-22,-11.0,-11.0
2014-09-23,-12.0,-12.0
2014-09-24,129.0,129.0
2014-09-25,-20.0,-20.0
2014-09-26,-9.0,-9.0
2014-09-27,-15.0,-15.0
2014-09-28,-19.0,-19.0
2014-09-29,-2.0,-2.0
2014-09-30,-14.0,-14.0
2014-10-01,-15.0,-15.0
2014-10-02,-9.0,-9.0
2014-10-03,-20.0,-20.0
2014-10-04,70.0,70.0
2014-10-05,-16.0,-16.0
2014-10-06,8.0,8.0
2014-10-07,67.0,67.0
2014-10-08,56.0,56.0
2014-10-09,-1.0,-1.0
2014-10-10,-15.0,-15.0
2014-10-11,9.0,9.0
2014-10-12,19.0,19.0
2014-10-13,-3.0,-3.0
2014-10-14,30.0,30.0
2014-10-15,-4.0,-4.0
2014-10-16,30.0,30.0
2014-10-17,-9.0,-9.0
2014-10-18,-15.0,-15.0
2014-10-19,-10.0,-10.0
2014-10-20,4.0,4.0
2014-10-21,252.0,252.0
2014-10-22,43.0,43.0
2014-10-23,-4.0,-4.0
2014-10-24,63.0,63.0
2014-10-25,-4.0,-4.0
2014-10-26,-6.0,-6.0
2014-10-27,-13.0,-13.0
2014-10-28,-5.0,-5.0
2014-10-29,0.0,0.0
2014-10-30,-6.0,-6.0
2014-10-31,-8.0,-8.0
2014-11-01,-11.0,-11.0
2014-11-02,3.0,3.0
2014-11-03,81.0,81.0
2014-11-04,0.0,0.0
2014-11-05,-3.0,-3.0
2014-11-06,-3.0,-3.0
2014-11-07,11.0,11.0
2014-11-08,-9.0,-9.0
2014-11-09,-8.0,-8.0
2014-11-10,-9.0,-9.0
2014-11-11,-8.0,-8.0
2014-11-12,2.0,2.0
2014-11-13,-7.0,-7.0
2014-11-14,58.0,58.0
2014-11-15,112.0,112.0
2014-11-16,79.0,79.0
2014-11-17,-6.0,-6.0
2014-11-18,1.0,1.0
2014-11-19,-1.0,-1.0
2014-11-20,-2.0,-2.0
2014-11-21,-7.0,-7.0
2014-11-22,-6.0,-6.0
2014-11-23,41.0,41.0
2014-11-24,15.0,15.0
2014-11-25,-4.0,-4.0
2014-11-26,9.0,9.0
2014-11-27,9.0,9.0
2014-11-28,-2.0,-2.0
2014-11-29,-5.0,-5.0
2014-11-30,25.0,25.0
2014-12-01,-1.0,-1.0
2014-12-02,-1.0,-1.0
2014-12-03,-2.0,-2.0
2014-12-04,-1.0,-1.0
2014-12-05,19.0,19.0
2014-12-06,-5.0,-5.0
2014-12-07,47.0,47.0
2014-12-08,61.0,61.0
2014-12-09,1.0,1.0
2014-12-10,64.0,64.0
2014-12-11,66.0,66.0
2014-12-12,151.0,151.0
2014-12-13,10.0,10.0
2014-12-14,3.0,3.0
2014-12-15,54.0,54.0
2014-12-16,4.0,4.0
2014-12-17,34.0,34.0
2014-12-18,9.0,9.0
2014-12-19,82.0,82.0
2014-12-20,35.0,35.0
2014-12-21,-2.0,-2.0
2014-12-22,8.0,8.0
2014-12-23,-5.0,-5.0
2014-12-24,61.0,61.0
2014-12-25,48.0,48.0
2014-12-26,-1.0,-1.0
2014-12-27,192.0,192.0
2014-12-28,-3.0,-3.0
2014-12-29,10.0,10.0
2014-12-30,-3.0,-3.0
2014-12-31,-4.0,-4.0
2015-01-01,1.0,1.0
2015-01-02,17.0,17.0
2015-01-03,28.0,28.0
2015-01-04,-1.0,-1.0
2015-01-05,-1.0,-1.0
2015-01-06,7.0,7.0
2015-01-07,22.0,22.0
2015-01-08,124.0,124.0
