level	value	count	cumlative
227	277104.32	0	0.999995
228	278324.82	0	0.999995
229	279545.32	0	0.999995
230	280765.82	0	0.999995
231	281986.32	0	0.999995
232	283206.82	0	0.999995
233	284427.32	0	0.999995
234	285647.82	0	0.999995
235	286868.32	0	0.999995
236	288088.82	0	0.999995
237	289309.32	0	0.999995
238	290529.82	0	0.999995
239	291750.32	0	0.999995
240	292970.82	0	0.999995
241	294191.32	0	0.999995
242	295411.82	6	0.999996
243	296632.32	0	0.999996
244	297852.82	0	0.999996
245	299073.32	0	0.999996
246	300293.82	0	0.999996
247	301514.32	0	0.999996
248	302734.82	0	0.999996
249	303955.32	0	0.999996
250	305175.82	0	0.999996
251	306396.32	0	0.999996
252	307616.82	0	0.999996
253	308837.32	0	0.999996
254	310057.82	0	0.999996
255	311278.32	21	1.000000

